owner,countedBalance,originalBalance
7ns85Rd2vP4nwRgF75YVifYkvRjnVvoLTuFfgJe96JYU,759894576148,759894576148
7zwzhxAdKuM8tb488PZCg1bh5SCxMqZR3s43pFV4eCzw,953221112395,953221112395
812re1CVEYcPvUAfyYLawTTiD4fUk8y64k6rGu7A6WoX,2923303261716,2923303261716
826gro5bKgGCGsGoy2dNQymvQqogt1gHziCGm7WyFtbC,728148803243,728148803243
83dxFFM1KNR7sL8z5vQEvCF9W3tsMSRSRftRLMZYT9dw,1500000004863,1500000004863
85T2QcNQvDSizAgZy4C8zKsrFg6EXpXmaAEEgCubACAk,730234082689,730234082689
8EW6VPM3hq7E1airKXmAzpYggLtBd3xACu1SUopEXfPi,703055825615,703055825615
8FBLDjQCCnnnqg8iqHHR6voZUFiRCNA6tFjzCfyH1CNC,10114100415045,10114100415045
8GcJogATJuGwyuUqhA3bqVR2aAyQWyEkJCNd8uWE2inQ,513093096112,513093096112
8Gj2EireCc6ULLeP6gqzXMKydcfc8YBpXZvJ36oxnPpP,1003755743116,1003755743116
8H1SavUp5YdbLHrHgPL84E9njRCAScuT1Yv2KNg6WAZ2,2197233415632,2197233415632
8HHc6jbdbe4dbH5d9gUjbCkiy5pmva6pQpVTFPgigiuC,570226350356,570226350356
8KUtGzsXG9uNxFHG1WVQuctbWbDq91368pTq3ea5KHbE,1201340337928,1201340337928
8N8QU7iCWeGjnBSBZbF6BySdMxTFxm7JGLdCWrJ1fxMb,4261476782702,4261476782702
8Q94vQoCDT9eVsJ3bSxLXUpPQ9u7m4eBcEvf7vABqATb,2133335490513,2133335490513
8XU8XmNjaVsaTc2N6jNxm3A7PAHdNnhTXF1unqT5YJnT,572282110937,572282110937
8YjYm9AdsnsWD7Zv1eNbQ656naLS7CTgSp9ELgiCUMbt,607045555533,607045555533
8aeC1xki5E8MtF344YjU5gPGLftxx747Tg61Q3zae7Fp,855138364775,855138364775
8ia4P9k56ELLquxehYZy33ptMQ8hDTdxCcn3pYhk2ihf,1822682563489,1822682563489
8ikKvxCeeN8gzbNRxQ221SC53HNAcvZxwBpihHjSYSR2,1083474845470,1083474845470
8jotNSgDRP5Ar1neLGquQ2pAS76NQ3KTCBbtH3oioYLJ,3789237483649,3789237483649
8qk9kQQGnMYmN5jcTYBik2nrKCiFMj2qkDykYMgAogrq,585747672552,585747672552
8rThinZbQV8aLMxt7DNnBMmdtrHaFQrR1qgc2CMZ5pLo,1025503348991,1025503348991
8s9j5qUtuE9PGA5s7QeAXEh5oc2UGr71pmJXgyiZMHkt,2906549403331,2906549403331
8sABwiH65kjcZ3tKXuNLmCsN1gf8fCZKDgKvAq49rLjD,506751536354,506751536354
8sf3LnCbPeYZ3QRLL3LszomLCr6cHE3g1U92XgLrLDH4,515422391756,515422391756
8t7zWCDk3fJMk2WN6w1GuyGpTtJuGuXPkQPLLUmGc8sD,1718343697715,1718343697715
92eY1io9d3P9tHPeCrApdRNA2yUGJ4zrZG1nxqFUQ4sG,500436653057,500436653057
979h3UhXoixngDzY7m6D1fFATeDCKmE15TrSZLmDoct1,645556461138,645556461138
97bZmQXg9qPbukjGtYbWcH9kmdpS4ggF1K1Zc6WyTQPn,2177657145968,2177657145968
9EwkmJYZF8wVJ5CoaYE3nyVRhYCosRMcMPyaPWyAXXxy,700414014078,700414014078
9KMcfLRoTt6Xxuuo38GWsAS6mrVFGJ5Kr5bficUh1eHB,671350358150,671350358150
9Kko6mWAN8gxpyAYYkUeXAEaPd6QvdWzuvidU8nNY1fJ,2413894392005,2413894392005
9MAeiqmLmAfP1C8TMJ7gYpvNBKGQ3pCjmUoBMyPrVXub,747280146237,747280146237
9QCeFTinSUUqWFzKaPWEtVky8vZ1qSvh4UTGZYSzw16Y,4905556524679,4905556524679
9TxGXQdTehE1y9Gtr4uf6Kd4Bw27zFX7fhNyDr8h8iuB,1250000000000,1250000000000
9aEBddTQK6JDdB7VktNGSTmESwjRZZiK7PrCawuxiDoy,1433825622214,1433825622214
9aoh8bVVBoqpC8FYBJaggaSWK8QYopJSddjTTdufzvK2,1126215526430,1126215526430
9bV43EANh3zgzvJa3BKmQ2XTTNfNRB2YtihPBRBCNviY,2783822143881,2783822143881
9cgQ4XiUGYg7W3NTgBHJ7Uq1H9kbhT2k34coi2Cy9YtV,1002012038049,1002012038049
9feRiedSbXhV54GmninTFg2XbDpHRLNTViLQAMz7kSjZ,1391764387987,1391764387987
9jZ36Y3JvQS7cpJHwfEfHAoAu4cComPbUj1fjNmoid8U,1300459830324,1300459830324
9oZUtKEuabX6meWDaBnYocKXF3PhqEFeSWq4jNFobsqX,1948220318229,1948220318229
9oz6uCtgBzm543G4L1yzz6uGGa2TX1ApRoDdPftYHwUp,1798444024330,1798444024330
9qLHdDCzDxF93wzBS85wM3HVnu6u9eUhg7TL75AJKwvi,5723583060158,5723583060158
9tJNYxgEGjVQpXckYaErFfG1Z8GjQQRf8EWaeSKKD7RX,1449410321989,1449410321989
9uEJ8iYrNRnQ5H1dnYN1stX1Y7L8cNqGB24PtGw3MepG,500000744028,500000744028
A3LNDYDzfL48bvnejRXprMB7bDEZScyphk9PBqpG5KHb,12732535067144,13928359612578
AJ3RB9w4EGoALk8aZW9GYrHvdqxrVNLniXPPtqY5wKy,2007341417263,2007341417263
AJBKZWJsnaTx2pNi54iRng4LCbPzwX7DwkqcUaobZDf5,698259635507,698259635507
AUcifH1ThtwdCSLxZhghDGboTHc4E4nhWhF1GPcRH8uF,1030061515025,1030061515025
AbPQqRQyhhhrUzKk1hnJPQr6qRNqiwUkua8RBWhsbKAT,10230224562116,10230224562116
AcfFdrFT7qq4giffjBnDv4YxsVAZYm2gESwC5PgrbZWj,1002313817310,1002313817310
AdSJNaoGq6FpbKasuwhZJRhrwQJuPHax52MTt9ZEbCz8,501943873210,501943873210
AhSMPgKMdciHDqLLBtk7fknBY8venQ1mHB6Zgkm53Hs4,500261400476,500261400476
AncKuKBHe1Zkh6xtkyZ6MsNWCwtbSDCnziRnML9CaBYz,515493621913,515493621913
AqanKvFFMy5kJ7hdNw4r3CTFR62xBei4YxDnw1AqokRr,9079388605221,9079388605221
Arb6wa8kbDrP43odKba5twTuPuEKJwfXKrkWJxLnXeyP,1025000000000,1025000000000
AwwmDHtzPutWYL7L3DwZ6kbopntjk72iry6SFb42yAqo,5000280724954,5000280724954
Ax9SjCZ6RiKTTR1Pqk3DJSz3FpvDFv9GEToTk6Sjii9B,1026090270988,1026090270988
AxiX9h6Hgr5uQLckvGaSaxHusYVX3fTPGerQXLGMJq4W,1251757098719,1251757098719
Ay8geMBbH4r85rcR4oUYfu1NzdTFATeL2ABMQVbGyFKq,1663477992418,1663477992418
B3mTCCA5mkcM2TM4qXh6fWUez2uj54oHZnV8UyQE4Ldv,1447763393206,1447763393206
BBU5kZDbSA8yythQ6umyTXkXwhd5fbEvZVxkZaRQnu3e,899638241072,899638241072
BBmKWdg2xSWVpbRbDoJqcQ9ntQfPBmaR2zBmoYbqWMdE,588729480655,588729480655
BCbrp5eskkM7mHs8dKNoEJvpjrxcrgDdWozJonMF4HdH,837032694142,837032694142
BREcWM8swaK14ZUfYVrJzJ4mdtde6ZmQ6xMn8sA5XrsT,2054835367798,2054835367798
BS1oRQQvdpqLA1yAnqh8QA2giLqvEHDPPAziYt8qAcQa,509014765678,509014765678
BYxDTgEjExa5kh7GNq6J9iYYUyVoevwNWgtXPnZeCqF9,513860484492,513860484492
BeJAAdujjWHXDiEWmPmyWYFGq3yQmq6RYvwp1Hds6izi,1014075747742,1014075747742
BgBmttsmMJ77LPMresWREKUeeVBbRYAQdz8aWjfifS88,949411928562,949411928562
BkbxsbXRCSp6A5zBHNXMAc5j3FicfHzDaNgTvPS7QyHm,739427252211,739427252211
BmpcqzacVQfKegu4HdkKUfVRTPooXqfAgspBgStp2yYA,833893264780,833893264780
C5pAf1YhdGQ2FvqZvrCPMvADjZBbibJTEmYNbBKA6F51,635947983286,635947983286
C98SKRwkCxeYkEi2tbGkpChYSiPvGtj5iT8ajDh1BxSj,2733334000000,2733334000000
CC3SHyKKeuM1KUhbsq6hvqdhEcokqvsjSkwpPM4T1LT6,2000141036858,2000141036858
CGXEMoq7yTqiobSKJVS3WXpywC9qocwNh6Rj8cy75zkm,1077784626259,1077784626259
CJCgqbnd3FrmGa9wj7T5VACFAbPnjGBGXGFqjkJtMMwW,907964761023,907964761023
CPbKbmmM38NV2nKAtEQsPttFkbtJ2DGux2Dr4bRSFFqu,1370757512831,1370757512831
CQonTKn2R8AxuWdmAQ665BQGKdAHKYRxCk6Pk6oJj39f,2919118064061,2919118064061
CRsHntQirTYe9zwZYYMJpt6Wm6TaZyncUYF4TgW39zcf,1718048420266,1718048420266
CWtZ61fEzvHLhH4nXZcP81ZRgxnUBEjYmD67CQMwsZM7,778893267376,778893267376
Ch3HuHHKiNWa3dGtJWpYiDKp3e9hw8uRPFThUMmo7eu2,676237561153,676237561153
CnBms5gBv3HucyAf1Z6GdMCjQQVpr3amCUieFC4uZR3w,580034440163,580034440163
Cp1SgFjxCNXWwtwXM5QTwg3eJATDDfrvHx9Px2MGEjdn,653862758794,653862758794
Cq9tNoQTpCyyZa6nX63Lpo7ZWbQy6C9S7Un4n39a9XD2,1000000616990,1000000616990
Cs7EdraD8aoL1LEZMxvNrGGeT4u5W5r6NcSut7B9r2R8,1144100665708,1144100665708
Ct6Es1cLkzRniApmnv96gYroVa2Di6WWST3idrsWdNgV,2311600754304,2311600754304
Cw3DC7NMLp6whVkH8dSuEpMTgvrh53Rcs9VMTs9vGQK3,731656210345,731656210345
CxgPWvH2GoEDENELne2XKAR2z2Fr4shG2uaeyqZceGve,974882101378,974882101378
D1J1GA6yAHfXZRonG5uDGkEun49etczseBq6jdE7ywLN,7513994203447,7513994203447
D761VHcaBm1oFNwnd48E1ji59kxs9rk4n2P17wXgo8hb,1680452050723,1680452050723
D8uQPuax5YAG6B1bEGFcRq4ixuWrHeSmX6gh7izHJMsD,1166542975368,1166542975368
DGXUp9SHxWhFzy75rzVrG8AoxmMkackSEBpcHWSMqV5k,4596482057756,4596482057756
DHTvRLSGUEnJKm19UmkMz4GUc9DsatCHv22eMPzTXhnc,2006041512829,2006041512829
DPiQs7yP5WnBxN7RwttMKkrndmeTzeVZ69sxeAswxm8r,1279496463808,1279496463808
DRomNrLVN581TiMhXNu7x1XNxMxMCzzg8X1xtcguvwks,544075199493,544075199493
DZ6KKQXLfPTrBs4Cckhc9K1yftGffNVE3WRnJUttGLAG,641828324386,641828324386
DaVczxtj5vydHxuFdx3hBV3BgnP6m3jjgEs1oE4oS5kL,4394347458150,4394347458150
DdxSaJkk32sn1H73Pg4uTG79bmqnrGXm6GcXN4XuGmKT,1287648804347,1287648804347
Df8mQWMDsPT7R7rsLRLpvDhQ3DGWteFLafFpbkfHJwGX,1001250707508,1001250707508
DjCcK4MuPjkmGrLyXifZZaWhX2rKB7ZLhrZJ8Ky7bahA,1000529140590,1000529140590
DjK6ADK2pc8VCbTWuFuPzDBctDTy7aJbz4zBLkFVjJFY,1565986579513,1565986579513
DnLQhF9Bkr4ahfnEzGecicYEMNt51gQCMuj88XXBWqRy,525890980281,525890980281
DncvkH9cbV9VojEbszkYH8c9jE9VjqZk4wiciokSnUot,918933016278,918933016278
DndcTAdjxDVqB6RXZ2JGP18fd2tiUZUvSJ1orPzY5MdL,1257686848358,1257686848358
DoyNPhjraPTQc2stg58qA3n7hRCHLCchSXZir7okvdGJ,12732535067144,13670591938716
Dq5buf2y4PyxxeR6VpsstGTyRuQCqLsQDYTtNn6e7hc1,10036363594134,10036363594134
DrPcUZoZA8u2k8L29uKuDBi25Km7gjrZkPKCt78w9gy7,1435946110786,1435946110786
DypkhgKTfe7AByEzhi2JX3ACFBWecYMMfQN9uXt3ynQR,689591613031,689591613031
EBsi3kVgtw1CYxMjsH57i1DXkfT5kUPzJwkoo78HbLLj,552232771044,552232771044
EDG1kpToB7rtbK3qTLT794ox3gE53fCK5cTWqgfkE7t8,1782216721192,1782216721192
EEE9SQD7HVgDiZxn8D5a6UGc9sPybL5meLzR5MVMSdRG,588843996255,588843996255
ET9sidMLe4bXkcY2uJr5Q87nJDxbU6vKTZXy96FY4uyt,1500000202963,1500000202963
EXwJACp3QanUgJFjJV55nozZjd1GXKNDgbBWJXFUGicZ,3115971915667,3115971915667
EbLmKW7FaRhP4zhtNqr1hyz34wFSM7R33pJAaY7rM2n2,902993019325,902993019325
EbVZBnnfHSwCFitqn55eeA2N68tgGQGmYCFGHKeUtV8z,1919936443190,1919936443190
EghzsGsqDfRaUr5fksDBSb9SPb5iZ4vYKK9icsnt3C6h,944548691981,944548691981
EnaU6rRLPndXpakTXjVDfCgq9gDApvfZ68CnM4u5d9tM,534182116646,534182116646
EpAev6tJzkhmTTYt33zKmSvaKRBqUMHfGseTLBXjiY7p,869705473969,869705473969
Eqos42SmdAH2YgAjtoGvH6L5S597uULDio9d7NPU2d3a,500000000000,500000000000
