owner,balance
FZaypZv8wh557QZpiwk42VAw6qqe1HuvMZW3No89wK4g,10001221649482
FkFnmrrs1TZGmZsVhar8kn7XvEPqb9qW3KK7D2PJss6d,567613819043
FkaLnX17cXZGyeu3kZGdHCNdFMJJzBrPPYVvd18B3MZp,1533362334178
G1U6FxxH8WpMKUJdg7BJf1jbpvzA4tLiPe9nZ5bbzdHM,650000000000
G5tj6pUqxhQhoLqYpCifyJsZBTkw1zhWQR9UcRxEWsxZ,7710291281934
GJCpaYJN19zV1Hj4fYiMPqWVVJSaap9FnQZZwPspszs5,500000000000
GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,606406867455
GLV3uy4rugcgd1Ukpfz4koWc18Q2eb2wUCYWCwgKRTax,655400000003
GU9ZpULF3qHNApXsWHPCUrWArG5mrdzZCtQSpwL8AQy4,2522698352790
GV9kvNR1x2KVX3kaacQRrcUjaZTzf67PBZcfVD8JA9Ad,675175713488
Gfgi79vUv9cs1WQu9YQuitgMxc37cymuc38dxChJkrf5,500350250159
GtH8a7vy6NM9RBr8KZhcoyusy5rfqvQVT4sqA2TbtpVA,1275017584640
H1NLEPq7d2UsTazhGzL9wEQmA1VbrJkk6MJirzGArFaG,2735522715886
H34n1FbcNrBRJWLHvFor8JydhX9E5ahinipTuybqAXFb,12259545336123
HDWwMbkMDM93hH17ECPU3dtKGJ3AFHE2aQ3rwZxu3QGp,523464250481
HEo97k3x6yFmmdvxDWNV8L5eQTxgQn2FP9r5QePnwZ5r,1037373419888
HST8927q4YpwqarxyCeVKk5bKnhjdXk2kfw6FHmgbcFY,583680666527
HfJQm2Q8wCHVGfsWxLdH3bpd6RQhabPu2ue26YGQvDAE,1023321860874
HgE7rwRkfxKbtBfuERrQZvtpdhUEfJQnMQ4NMj4LZi8Z,2000018213740
HwwHraTNpr32Sob715erpFhNtyzLvopuQxhnwSPhP8BG,1436285521047
J3miybSbu2YjFALUhKzEZrPFwPG9Jq14sQFd12JypYCN,1296803348675
J5pZQPTunqDU3VH7utCvpqPjz6PnDcR5cHXtQQXmJ8EF,2408007618285
J5rjAvnxJxWf6MDo3dt5K2NXsokNV5U4VwPmLsMnyxKu,851830223478
J8FNbQnRGmgHaPrmUsjJ7sdM7gaJVbcvEfYGCmVs69bE,2595909457890
KANdtnAjqCUtzkpLEPZPc5gc2sQwJpB3bxDFvR5Y1Gz,520639058773
KRGa3msyC2amDzxBuJSVzrT5r4WWzmxXSm1BaMecYdT,587556136580
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,1042141449826
bZdibLtUWiWXRJREYrMaG7AEH8dqr5AgNVddSeY7Hyw,2944022220315
d8cdcrdN9qHX1SfjADddqFHWvmTS3VkCPaNebp3Qffv,537900000000
ikJ2hGbkX648nRLMs2zKbv21gaeLDRKNPPGg9JHUnDc,1111707166892
k1raAr48PaZ63baKoPMLw9fRcyGFusU2CgdgB9C3W1E,1384981464028
tLoQPvd5rdZQgmzaZmGMC1j7xQfPK8FGcaoarqP3yyV,8556027881445
xDb3JW3KABjksRqYKBGdZrcEQH7hd1B6hbNiXyeNzgS,1422802706445
